barkod,miktar,markalar,alerjenler,eser_miktarlar,icerik_sayisi,nutriscore_notu,nova_grubu,yesil_skor_notu,palmiye_yagi_icermez,vejetaryen,vegan_durumu,yag_seviyesi,doymus_yag_seviyesi,seker_seviyesi,tuz_seviyesi,enerji_kj,enerji_kcal,yag_g,doymus_yag_g,karbonhidrat_g,seker_g,lif_g,protein_g,tuz_g,sodyum_g,alkol_yuzde,meyve_sebze_baklagil_yuzde,nutriscore_puan,ns_negatif_puan,ns_pozitif_puan,ns_enerji_puan,ns_seker_puan,ns_doymus_yag_puan,ns_tuz_puan,ns_protein_puan,ns_lif_puan,ns_meyve_sebze_baklagil_puan,urun_bilgisi,birim,kategori_listesi,etiketler_listesi
8008698007389,300.0,Schär,['Soybeans'],"['Lupin', 'Mustard', 'Sesame seeds']",28,B,4.0,A,True,True,no,moderate,low,low,moderate,1037.6,556.0,6.4,0.8,38.0,4.0,10.0,4.4,0.94,0.376,,0.0,2,8,6,3.0,1,0.0,4,1.0,5,0,Wholesome Seeded Loaf,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Cereals and potatoes', 'Cereals and their products', 'Specific products', 'Products for specific diets', 'Breads', 'Products without gluten', 'Gluten-free breads', 'Bakkerij', 'Brood', 'Glutenvrij brood']","['No gluten', 'Crossed Grain Trademark', 'No preservatives', 'Green Dot', 'No lactose']"
3229820801087,1.0,Bjorg,[],[],4,B,3.0,B,True,True,yes,low,low,low,low,120.0,29.0,0.9,0.2,4.5,0.5,0.0,0.6,0.09,0.036,0.0,,2,2,0,2.0,0,0.0,0,0.0,0,0,Avoine sans sucres,l,"['Beverages and beverages preparations', 'Plant-based foods and beverages', 'Beverages', 'Plant-based foods', 'Cereals and potatoes', 'Dairy substitutes', 'Cereals and their products', 'Milk substitutes', 'Plant-based beverages', 'Plant-based milk alternatives', 'Cereal-based drinks', 'Oat-based drinks']","['Organic', 'EU Organic', 'Certified B Corporation', 'EU Agriculture', 'FR-BIO-01', 'IT-BIO-007', 'Made in Italy', 'Nutriscore', 'Nutriscore Grade B', 'AB Agriculture Biologique']"
6111126005894,500.0,Chergui,[],[],24,B,,E,False,True,yes,moderate,moderate,moderate,low,184.0,44.0,1.7,1.19,4.5,4.2,,2.7,0.1275,0.051,,,2,7,5,3.0,3,1.0,0,5.0,0,0,Kéfir Nature,,"['Beverages and beverages preparations', 'Beverages', 'Dairies', 'Fermented foods', 'Fermented milk products', 'Desserts', 'Dairy desserts', 'Dairy drinks', 'Fermented dairy desserts', 'Fermented drinks', 'Fermented milk drinks', 'Yogurts', 'Kefir']",[]
3229820794624,130.0,Bjorg,[],['Sesame seeds'],2,B,3.0,A,True,True,yes,moderate,low,low,low,1585.0,379.0,3.2,0.698529411764706,77.0,0.599264705882353,3.59926470588235,8.7,0.25,0.1,,,1,5,4,4.0,0,0.0,1,3.0,1,0,Galettes riz complet Bio,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Cereals and potatoes', 'Cereals and their products', 'Puffed cereal cakes', 'Puffed rice cakes', 'Puffed wholegrain rice cakes']","['No gluten', 'Organic', 'EU Organic', 'Certified B Corporation', 'FR-BIO-01', 'Made in Italy', 'Nutriscore', 'Nutriscore Grade A', 'Triman']"
7613032779566,1000.0,Nestlé,['Gluten'],"['Milk', 'Nuts']",31,B,4.0,B,True,True,yes,moderate,low,high,low,1624.0,384.0,4.4,1.1,73.8,19.9,7.7,8.5,0.2,0.08,,,2,10,8,4.0,5,1.0,0,3.0,5,0,chocapic,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Breakfasts', 'Cereals and potatoes', 'Cereals and their products', 'Breakfast cereals', 'Chocolate cereals', 'Breakfast cereals fortified with vitamins and chemical elements', 'Extruded cereals', 'Breakfast cereals rich in fibre', 'Chocolate wheat shells', 'Unfilled breakfast chocolate cereals fortified with vitamins and chemical elements']","['Vegetarian', 'Green Dot', 'Made in France', 'No palm oil', 'Nutriscore', 'Nutriscore Grade A', 'Rainforest Alliance', 'Rainforest Alliance Cocoa', 'Too good to go', 'fr:Blé français', 'Triman']"
3175681290297,130.0,Gerblé,"['Gluten', 'Nuts']","['Eggs', 'Lupin', 'Milk', 'Nuts', 'Sesame seeds', 'Soybeans']",20,B,4.0,C,True,True,yes,moderate,moderate,low,low,1861.0,445.0,20.0,3.6,64.0,0.0,6.0,8.0,0.1775,0.071,22.0,,2,8,6,5.0,0,3.0,0,3.0,3,0,Cookie Chocolat saveur noisette Sans sucres,g,"['Snacks', 'Sweet snacks', 'Biscuits and cakes', 'Biscuits and crackers', 'Biscuits', 'Chocolate biscuits', 'Drop cookies', 'Chocolate chip cookies']","['Low or no sugar', 'Vegetarian', 'Vegan', 'Made in France', 'No palm oil', 'No sugar', 'Nutriscore', 'Nutriscore Grade A', 'Rainforest Alliance']"
5411188115472,1.0,Alpro,['Soybeans'],[],16,B,4.0,A,True,True,yes,moderate,low,moderate,low,163.0,39.0,1.8,0.3,2.5,2.5,0.5,3.0,0.09,0.036,,,-1,5,6,3.0,2,0.0,0,6.0,0,0,Voll mit Protein Soya,l,"['Beverages and beverages preparations', 'Plant-based foods and beverages', 'Beverages', 'Plant-based foods', 'Legumes and their products', 'Dairy substitutes', 'Milk substitutes', 'Plant-based beverages', 'Plant-based milk alternatives', 'Legume-based drinks', 'Soy-based drinks', 'Plain soy drink fortified with calcium', 'Sweetened plain soy-based drinks', 'Unsweetened plain soy-based drinks']","['No gluten', 'Vegetarian', 'Vegan', 'FSC', 'No lactose']"
6111024002186,200.0,Huilor,[],['Nuts'],3,B,,E,False,True,yes,high,high,low,low,3700.0,900.0,100.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,24.0,,-1,4,5,,0,,0,0.0,0,5,Houilor,cl,"['Plant-based foods and beverages', 'Plant-based foods', 'Fats', 'Vegetable fats', 'Olive tree products', 'Vegetable oils', 'Olive oils']",[]
5010477365316,400.0,JORDANS,['Nuts'],[],14,B,4.0,C,True,True,yes,moderate,moderate,moderate,low,1840.0,440.0,20.0,3.7,47.0,9.5,18.0,9.0,0.03,0.012,,,2,10,8,5.0,2,3.0,0,3.0,5,0,Oh my crisp ! - Noix,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Breakfasts', 'Cereals and potatoes', 'Cereals and their products', 'Breakfast cereals', 'Mueslis']","['No added sugar', 'Nutriscore', 'Nutriscore Grade B']"
5449000135544,0.5,Ciel,[],[],1,B,,,False,True,yes,low,low,low,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0052,,,0,0,0,0.0,0,0.0,0,0.0,0,0,Ciel 50cl,l,"['Beverages and beverages preparations', 'Beverages', 'Waters', 'Unsweetened beverages', 'Table waters']",[]
